nworkers,time,speedup,efficiency
1,1922.0,1.0,100.0
2,917.0,2.096,104.8
4,1134.0,1.695,42.39
6,342.7,5.608,93.47
8,245.6,7.824,97.8
10,255.0,7.537,75.37
12,501.0,3.836,31.97
14,155.2,12.38,88.46
16,344.9,5.572,34.82
24,265.0,7.251,30.21
32,285.7,6.728,21.02
