nworkers,time,speedup,efficiency
1,1922.0,1.0,100.0
2,1204.0,1.596,79.82
4,549.8,3.496,87.39
6,924.4,2.079,34.65
8,324.9,5.916,73.95
10,293.0,6.561,65.61
12,277.2,6.934,57.78
14,481.7,3.99,28.5
16,467.3,4.113,25.71
24,472.7,4.066,16.94
32,317.2,6.059,18.93
