nworkers,time,speedup,efficiency
1,38240.0,1.0,100.0
2,14810.0,2.581,129.1
4,15670.0,2.44,61.0
6,5593.0,6.837,114.0
8,7410.0,5.16,64.5
10,3365.0,11.36,113.6
12,3148.0,12.15,101.2
14,2220.0,17.22,123.0
16,3742.0,10.22,63.87
24,2661.0,14.37,59.87
32,2298.0,16.64,52.0
