N,nworkers,policy,tileSize,chunkSize,time,checksum
1000,16,3,8,128,40.9553,100135
1000,24,3,1,32,98.899,100135
1000,24,3,1,64,105.428,100135
1000,24,3,1,128,81.7667,100135
1000,24,3,4,32,46.9736,100135
1000,24,3,4,64,81.8759,100135
1000,24,3,4,128,152.786,100135
1000,24,3,8,32,111.763,100135
1000,24,3,8,64,139.206,100135
1000,24,3,8,128,358.88,100135
1000,32,3,1,32,250.162,100135
1000,32,3,1,64,786.931,100135
1000,32,3,1,128,826.321,100135
1000,32,3,4,32,655.414,100135
1000,32,3,4,64,313.967,100135
1000,32,3,4,128,95.3882,100135
1000,32,3,8,32,285.85,100135
1000,32,3,8,64,90.5486,100135
1000,32,3,8,128,173.869,100135
2000,1,0,1,1,1921.94,435143
2000,1,0,4,1,1915.57,435143
2000,1,0,8,1,1914.37,435143
2000,1,1,1,1,2014.71,435143
2000,1,1,4,1,1804.01,435143
2000,1,1,8,1,1786.87,435143
2000,2,1,1,1,1068.28,435143
2000,2,1,4,1,946.842,435143
2000,2,1,8,1,910.586,435143
2000,4,1,1,1,603.141,435143
2000,4,1,4,1,1146.44,435143
2000,4,1,8,1,487.536,435143
2000,6,1,1,1,891.33,435143
2000,6,1,4,1,370.291,435143
2000,6,1,8,1,420.558,435143
2000,8,1,1,1,346.666,435143
2000,8,1,4,1,438.178,435143
2000,8,1,8,1,263.298,435143
2000,10,1,1,1,318.045,435143
2000,10,1,4,1,243.171,435143
2000,10,1,8,1,506.964,435143
2000,12,1,1,1,273.558,435143
2000,12,1,4,1,475.902,435143
2000,12,1,8,1,186.633,435143
2000,14,1,1,1,467.275,435143
2000,14,1,4,1,189.067,435143
2000,14,1,8,1,416.335,435143
2000,16,1,1,1,370.617,435143
2000,16,1,4,1,338.21,435143
2000,16,1,8,1,351.573,435143
2000,24,1,1,1,400.402,435143
2000,24,1,4,1,274.485,435143
2000,24,1,8,1,233.137,435143
2000,32,1,1,1,351.746,435143
2000,32,1,4,1,229.004,435143
2000,32,1,8,1,416.619,435143
2000,1,2,1,1,2080.09,435143
2000,1,2,4,1,1827.11,435143
2000,1,2,8,1,1789.45,435143
2000,2,2,1,1,1203.88,435143
2000,2,2,4,1,917.037,435143
2000,2,2,8,1,2207.52,435143
2000,4,2,1,1,549.805,435143
2000,4,2,4,1,1133.6,435143
2000,4,2,8,1,485.877,435143
2000,6,2,1,1,924.407,435143
2000,6,2,4,1,342.703,435143
2000,6,2,8,1,425.141,435143
2000,8,2,1,1,324.892,435143
2000,8,2,4,1,245.64,435143
2000,8,2,8,1,243.372,435143
2000,10,2,1,1,292.954,435143
2000,10,2,4,1,254.991,435143
2000,10,2,8,1,538.326,435143
2000,12,2,1,1,277.181,435143
2000,12,2,4,1,500.967,435143
2000,12,2,8,1,174.887,435143
2000,14,2,1,1,481.704,435143
2000,14,2,4,1,155.199,435143
2000,14,2,8,1,405.041,435143
2000,16,2,1,1,467.257,435143
2000,16,2,4,1,344.932,435143
2000,16,2,8,1,248.113,435143
2000,24,2,1,1,472.654,435143
2000,24,2,4,1,265.046,435143
2000,24,2,8,1,260.652,435143
2000,32,2,1,1,317.196,435143
2000,32,2,4,1,285.666,435143
2000,32,2,8,1,321.504,435143
2000,1,3,1,32,2061.73,435143
2000,1,3,1,64,2086.89,435143
2000,1,3,1,128,2469.52,435143
2000,1,3,4,32,2235.35,435143
2000,1,3,4,64,2088,435143
2000,1,3,4,128,2084.6,435143
2000,1,3,8,32,1992.66,435143
2000,1,3,8,64,1917.61,435143
2000,1,3,8,128,1921.41,435143
2000,2,3,1,32,1072.65,435143
2000,2,3,1,64,2660.71,435143
2000,2,3,1,128,1164.05,435143
2000,2,3,4,32,2150.23,435143
2000,2,3,4,64,977.298,435143
2000,2,3,4,128,998.585,435143
2000,2,3,8,32,914.845,435143
2000,2,3,8,64,1034.31,435143
2000,2,3,8,128,969.914,435143
2000,4,3,1,32,2097.67,435143
2000,4,3,1,64,585.744,435143
2000,4,3,1,128,1933.58,435143
2000,4,3,4,32,538.188,435143
2000,4,3,4,64,585.22,435143
2000,4,3,4,128,528.797,435143
2000,4,3,8,32,467.799,435143
2000,4,3,8,64,555.492,435143
2000,4,3,8,128,488.698,435143
2000,6,3,1,32,917.55,435143
2000,6,3,1,64,406.736,435143
2000,6,3,1,128,926.25,435143
2000,6,3,4,32,331.137,435143
2000,6,3,4,64,803.472,435143
2000,6,3,4,128,339.385,435143
2000,6,3,8,32,861.447,435143
2000,6,3,8,64,360.464,435143
2000,6,3,8,128,323.224,435143
2000,8,3,1,32,732.615,435143
2000,8,3,1,64,329.94,435143
2000,8,3,1,128,705.882,435143
2000,8,3,4,32,249.803,435143
2000,8,3,4,64,603.882,435143
2000,8,3,4,128,250.561,435143
2000,8,3,8,32,248.541,435143
2000,8,3,8,64,258.296,435143
2000,8,3,8,128,281.22,435143
2000,10,3,1,32,1964.38,435143
2000,10,3,1,64,309.058,435143
2000,10,3,1,128,1882.85,435143
2000,10,3,4,32,496.389,435143
2000,10,3,4,64,1322.36,435143
2000,10,3,4,128,510.037,435143
2000,10,3,8,32,542.569,435143
2000,10,3,8,64,697.201,435143
2000,10,3,8,128,202.532,435143
2000,12,3,1,32,2129.18,435143
2000,12,3,1,64,559.66,435143
2000,12,3,1,128,534.471,435143
2000,12,3,4,32,403.915,435143
2000,12,3,4,64,467.101,435143
2000,12,3,4,128,408.874,435143
2000,12,3,8,32,301.953,435143
2000,12,3,8,64,398.166,435143
2000,12,3,8,128,192.639,435143
2000,14,3,1,32,444.787,435143
2000,14,3,1,64,1368.93,435143
2000,14,3,1,128,449.788,435143
2000,14,3,4,32,1461.42,435143
2000,14,3,4,64,162.968,435143
2000,14,3,4,128,1456.89,435143
2000,14,3,8,32,158.425,435143
2000,14,3,8,64,939.332,435143
2000,14,3,8,128,168.721,435143
2000,16,3,1,32,1876.38,435143
2000,16,3,1,64,2017.86,435143
2000,16,3,1,128,1905.79,435143
2000,16,3,4,32,1642.12,435143
2000,16,3,4,64,1434.82,435143
2000,16,3,4,128,1562.68,435143
2000,16,3,8,32,877.68,435143
2000,16,3,8,64,959.626,435143
2000,16,3,8,128,226.183,435143
2000,24,3,1,32,1360.33,435143
2000,24,3,1,64,2239.04,435143
2000,24,3,1,128,551.046,435143
2000,24,3,4,32,1725.41,435143
2000,24,3,4,64,325.453,435143
