nworkers,time,speedup,efficiency
1,1922.0,1.0,100.0
2,914.8,2.101,105.0
4,467.8,4.108,102.7
6,861.4,2.231,37.18
8,248.5,7.733,96.66
10,542.6,3.542,35.42
12,302.0,6.365,53.04
14,158.4,12.13,86.65
16,877.7,2.19,13.69
24,255.7,7.517,31.32
32,223.8,8.588,26.84
