nworkers,time,speedup,efficiency
1,243.1,1.0,100.0
2,133.8,1.817,90.85
4,115.2,2.109,52.73
6,107.2,2.267,37.79
8,65.08,3.735,46.68
10,56.62,4.293,42.93
12,74.19,3.276,27.3
14,41.77,5.819,41.56
16,36.89,6.59,41.19
24,111.8,2.175,9.062
32,285.9,0.8503,2.657
