nworkers,time,speedup,efficiency
1,38240.0,1.0,100.0
2,28640.0,1.335,66.76
4,11990.0,3.189,79.74
6,9400.0,4.068,67.8
8,9988.0,3.828,47.85
10,5895.0,6.487,64.87
12,5659.0,6.757,56.3
14,4123.0,9.274,66.24
16,1916.0,19.96,124.8
24,2514.0,15.21,63.39
32,2227.0,17.17,53.66
