nworkers,time,speedup,efficiency
1,243.1,1.0,100.0
2,280.5,0.8666,43.33
4,95.62,2.542,63.55
6,122.4,1.986,33.1
8,72.32,3.361,42.01
10,80.66,3.013,30.13
12,146.7,1.656,13.8
14,80.06,3.036,21.69
16,91.94,2.644,16.52
24,98.9,2.458,10.24
32,250.2,0.9716,3.036
