nworkers,time,speedup,efficiency
1,243.1,1.0,100.0
2,130.0,1.87,93.48
4,70.56,3.445,86.12
6,50.58,4.806,80.09
8,77.11,3.152,39.4
10,63.02,3.857,38.57
12,42.27,5.751,47.92
14,45.3,5.365,38.32
16,38.82,6.261,39.13
24,81.88,2.969,12.37
32,314.0,0.7742,2.419
