nworkers,time,speedup,efficiency
1,1922.0,1.0,100.0
2,1068.0,1.799,89.95
4,603.1,3.187,79.66
6,891.3,2.156,35.94
8,346.7,5.544,69.3
10,318.0,6.043,60.43
12,273.6,7.026,58.55
14,467.3,4.113,29.38
16,370.6,5.186,32.41
24,400.4,4.8,20.0
32,351.7,5.464,17.07
