nworkers,time,speedup,efficiency
1,243.1,1.0,100.0
2,146.3,1.661,83.07
4,65.21,3.727,93.18
6,91.15,2.666,44.44
8,67.7,3.59,44.87
10,38.04,6.389,63.89
12,79.17,3.07,25.58
14,62.67,3.878,27.7
16,40.96,5.935,37.09
24,358.9,0.6773,2.822
32,173.9,1.398,4.369
