nworkers,time,speedup,efficiency
1,1922.0,1.0,100.0
2,910.6,2.111,105.5
4,487.5,3.942,98.55
6,420.6,4.57,76.17
8,263.3,7.299,91.24
10,507.0,3.791,37.91
12,186.6,10.3,85.82
14,416.3,4.616,32.97
16,351.6,5.467,34.17
24,233.1,8.244,34.35
32,416.6,4.613,14.42
