nworkers,time,speedup,efficiency
1,243.1,1.0,100.0
2,247.9,0.9804,49.02
4,64.95,3.742,93.55
6,55.44,4.384,73.07
8,46.32,5.247,65.59
10,67.79,3.586,35.86
12,43.7,5.562,46.35
14,84.08,2.891,20.65
16,47.91,5.074,31.71
24,35.56,6.835,28.48
32,75.95,3.2,10.0
