nworkers,time,speedup,efficiency
1,243.1,1.0,100.0
2,155.6,1.562,78.1
4,102.8,2.364,59.09
6,69.54,3.495,58.25
8,58.15,4.18,52.25
10,36.87,6.592,65.92
12,97.85,2.484,20.7
14,38.25,6.355,45.39
16,40.93,5.939,37.12
24,152.8,1.591,6.629
32,95.39,2.548,7.963
