N,policy,nnodes,nworkers,tileSize,MPITime,time,checksum
1000,1,8,8,1,252.244,365.014,100135
1000,1,8,8,4,113.313,234.838,100135
1000,1,8,8,8,111.473,232.966,100135
1000,1,8,10,1,244.187,365.871,100135
1000,1,8,10,4,120.15,241.062,100135
1000,1,8,10,8,108.551,230.882,100135
1000,1,8,12,1,247.155,351.776,100135
1000,1,8,12,4,125.229,262.926,100135
1000,1,8,12,8,118.676,231.313,100135
1000,1,8,16,1,261.572,366.85,100135
1000,1,8,16,4,137.786,259.908,100135
1000,1,8,16,8,134.136,249.058,100135
1000,1,8,20,1,265.688,372.759,100135
1000,1,8,20,4,158.78,276.935,100135
1000,1,8,20,8,150.404,318.466,100135
1000,1,8,24,1,299.052,430.419,100135
1000,1,8,24,4,172.41,289.848,100135
1000,1,8,24,8,159.325,292.573,100135
1000,1,8,32,1,370.158,501.27,100135
1000,1,8,32,4,197.619,325.046,100135
1000,1,8,32,8,195.296,336.451,100135
1000,1,8,48,1,496.691,635.053,100135
1000,1,8,48,4,257.536,395.962,100135
1000,1,8,48,8,235.167,385.931,100135
1000,1,8,64,1,593.168,752.288,100135
1000,1,8,64,4,317.716,468.107,100135
1000,1,8,64,8,262.442,425.135,100135
