N,policy,nnodes,nworkers,tileSize,MPITime,time,checksum
2000,1,2,2,1,1557.53,1661.8,435143
2000,1,2,2,4,1156.63,1251.0,435143
2000,1,2,2,8,1114.11,1219.01,435143
2000,1,2,4,1,1019.4,1128.68,435143
2000,1,2,4,4,703.661,798.905,435143
2000,1,2,4,8,699.312,806.983,435143
2000,1,2,8,1,800.442,926.109,435143
2000,1,2,8,4,549.018,674.085,435143
2000,1,2,8,8,544.678,663.971,435143
2000,1,2,10,1,745.513,874.69,435143
2000,1,2,10,4,499.471,617.829,435143
2000,1,2,10,8,579.819,709.91,435143
2000,1,2,12,1,760.007,903.257,435143
2000,1,2,12,4,507.151,645.536,435143
2000,1,2,12,8,549.884,704.543,435143
2000,1,2,16,1,762.054,909.137,435143
2000,1,2,16,4,499.181,637.489,435143
2000,1,2,16,8,607.076,750.456,435143
2000,1,2,20,1,811.065,979.556,435143
2000,1,2,20,4,550.091,711.754,435143
2000,1,2,20,8,670.552,837.993,435143
2000,1,2,24,1,767.738,944.191,435143
2000,1,2,24,4,599.7,791.598,435143
2000,1,2,24,8,728.805,897.132,435143
2000,1,2,32,1,850.744,1038.2,435143
2000,1,2,32,4,697.771,905.182,435143
2000,1,2,32,8,874.785,1059.53,435143
