N,policy,nnodes,nworkers,tileSize,MPITime,time,checksum
4000,1,8,1,1,45309.4,45397.9,1790845
4000,1,8,1,4,28902.2,29003.2,1790845
4000,1,8,1,8,26332.4,26434.3,1790845
4000,1,8,8,1,4659.73,4786.1,1790845
4000,1,8,8,4,4399.32,4523.88,1790845
4000,1,8,8,8,4405.74,4514.69,1790845
4000,1,8,10,1,4150.64,4263.98,1790845
4000,1,8,10,4,4081.01,4184.82,1790845
4000,1,8,10,8,4096.72,4205.85,1790845
4000,1,8,12,1,3891.41,3993.88,1790845
4000,1,8,12,4,3923.97,4061.57,1790845
4000,1,8,12,8,4027.02,4141.31,1790845
4000,1,8,16,1,3752.74,3896.31,1790845
4000,1,8,16,4,4022.51,4146.77,1790845
4000,1,8,16,8,4146.77,4283.92,1790845
4000,1,8,20,1,3726.44,3846.76,1790845
4000,1,8,20,4,4224.0,4371.27,1790845
4000,1,8,20,8,4412.63,4530.48,1790845
4000,1,8,24,1,39883.7,40021.8,1790845
4000,1,8,24,4,4565.25,4692.44,1790845
4000,1,8,24,8,4869.05,4992.34,1790845
4000,1,8,32,1,3875.18,4011.31,1790845
4000,1,8,32,4,5254.56,5401.3,1790845
4000,1,8,32,8,5718.91,5877.1,1790845
4000,1,8,48,1,4599.32,4739.18,1790845
4000,1,8,48,4,6966.42,7109.13,1790845
4000,1,8,48,8,7709.65,7854.92,1790845
4000,1,8,64,1,5389.6,5543.47,1790845
4000,1,8,64,4,9154.4,9308.3,1790845
4000,1,8,64,8,9634.88,9780.69,1790845
