N,policy,nnodes,nworkers,tileSize,MPITime,time,checksum
4000,1,2,1,1,46411.8,46506.8,1790845
4000,1,2,1,4,30094.5,30212.7,1790845
4000,1,2,1,8,27331.8,27439.8,1790845
4000,1,2,2,1,20307.4,20416.5,1790845
4000,1,2,2,4,14678.7,14772.2,1790845
4000,1,2,2,8,13596.5,13699.5,1790845
4000,1,2,4,1,8090.11,8199.49,1790845
4000,1,2,4,4,7160.25,7262.36,1790845
4000,1,2,4,8,6958.83,7073.85,1790845
4000,1,2,8,1,7214.2,7336.67,1790845
4000,1,2,8,4,4845.1,4966.59,1790845
4000,1,2,8,8,4604.47,4717.59,1790845
4000,1,2,10,1,5355.2,5465.12,1790845
4000,1,2,10,4,4131.91,4257.98,1790845
4000,1,2,10,8,4114.78,4239.22,1790845
4000,1,2,12,1,5394.86,5538.84,1790845
4000,1,2,12,4,3987.07,4130.84,1790845
4000,1,2,12,8,4039.99,4167.25,1790845
4000,1,2,16,1,4388.95,4512.39,1790845
4000,1,2,16,4,3877.23,4021.6,1790845
4000,1,2,16,8,4192.63,4337.93,1790845
4000,1,2,20,1,4114.05,4280.66,1790845
4000,1,2,20,4,3947.93,4110.33,1790845
4000,1,2,20,8,4203.39,4354.63,1790845
4000,1,2,24,1,39895.5,40067.8,1790845
4000,1,2,24,4,4142.77,4317.15,1790845
4000,1,2,24,8,4473.23,4640.52,1790845
4000,1,2,32,1,4457.77,4658.18,1790845
4000,1,2,32,4,4520.33,4702.4,1790845
4000,1,2,32,8,5097.29,5301.84,1790845
