N,policy,nnodes,nworkers,tileSize,MPITime,time,checksum
4000,1,4,1,1,45309.4,45397.9,1790845
4000,1,4,1,4,28902.2,29003.2,1790845
4000,1,4,1,8,26332.4,26434.3,1790845
4000,1,4,4,1,7949.8,8041.76,1790845
4000,1,4,4,4,7105.74,7204.95,1790845
4000,1,4,4,8,6942.33,7068.25,1790845
4000,1,4,8,1,4696.46,4815.19,1790845
4000,1,4,8,4,4396.71,4498.33,1790845
4000,1,4,8,8,4396.12,4507.26,1790845
4000,1,4,10,1,4416.17,4534.94,1790845
4000,1,4,10,4,4004.28,4129.83,1790845
4000,1,4,10,8,4087.19,4209.4,1790845
4000,1,4,12,1,40016.4,40149.0,1790845
4000,1,4,12,4,3828.96,3956.08,1790845
4000,1,4,12,8,4009.68,4142.96,1790845
4000,1,4,16,1,3731.3,3865.97,1790845
4000,1,4,16,4,3963.17,4100.81,1790845
4000,1,4,16,8,4233.43,4364.07,1790845
4000,1,4,20,1,3593.39,3713.05,1790845
4000,1,4,20,4,4103.13,4228.8,1790845
4000,1,4,20,8,4272.49,4412.95,1790845
4000,1,4,24,1,39864.6,39996.2,1790845
4000,1,4,24,4,4377.01,4529.7,1790845
4000,1,4,24,8,4818.08,4949.49,1790845
4000,1,4,32,1,40003.0,40166.9,1790845
4000,1,4,32,4,4946.72,5094.25,1790845
4000,1,4,32,8,5507.12,5659.21,1790845
4000,1,4,48,1,4464.83,4648.82,1790845
4000,1,4,48,4,6346.89,6537.48,1790845
4000,1,4,48,8,7326.21,7503.75,1790845
4000,1,4,64,1,5182.11,5397.3,1790845
4000,1,4,64,4,8284.42,8496.81,1790845
4000,1,4,64,8,9051.15,9263.31,1790845
