N,policy,nnodes,nworkers,tileSize,MPITime,time,checksum
1000,1,4,1,1,305.471,409.455,100135
1000,1,4,1,4,251.543,341.593,100135
1000,1,4,1,8,245.22,346.055,100135
1000,1,4,4,1,260.335,375.179,100135
1000,1,4,4,4,137.214,244.148,100135
1000,1,4,4,8,119.283,238.977,100135
1000,1,4,8,1,249.274,359.089,100135
1000,1,4,8,4,115.924,230.246,100135
1000,1,4,8,8,111.632,227.381,100135
1000,1,4,10,1,240.517,358.383,100135
1000,1,4,10,4,113.642,216.506,100135
1000,1,4,10,8,117.933,234.79,100135
1000,1,4,12,1,250.865,377.492,100135
1000,1,4,12,4,126.384,236.823,100135
1000,1,4,12,8,113.724,213.94,100135
1000,1,4,16,1,264.947,396.169,100135
1000,1,4,16,4,135.291,255.724,100135
1000,1,4,16,8,139.829,264.65,100135
1000,1,4,20,1,306.1,417.772,100135
1000,1,4,20,4,146.094,271.668,100135
1000,1,4,20,8,146.562,280.016,100135
1000,1,4,24,1,286.273,414.063,100135
1000,1,4,24,4,165.088,300.281,100135
1000,1,4,24,8,160.668,317.118,100135
1000,1,4,32,1,346.586,491.716,100135
1000,1,4,32,4,193.524,336.08,100135
1000,1,4,32,8,186.501,339.453,100135
1000,1,4,48,1,421.018,605.785,100135
1000,1,4,48,4,251.628,429.391,100135
1000,1,4,48,8,227.606,408.07,100135
1000,1,4,64,1,534.37,738.11,100135
1000,1,4,64,4,311.747,501.785,100135
1000,1,4,64,8,255.443,466.961,100135
