N,policy,nnodes,nworkers,tileSize,MPITime,time,checksum
10000,1,2,1,1,780481.0,780590.0,10328025
10000,1,2,1,4,504432.0,504529.0,10328025
10000,1,2,1,8,450828.0,450923.0,10328025
10000,1,2,2,1,393563.0,393666.0,10328025
10000,1,2,2,4,253189.0,253294.0,10328025
10000,1,2,2,8,231589.0,231706.0,10328025
10000,1,2,4,1,207054.0,207164.0,10328025
10000,1,2,4,4,133016.0,133134.0,10328025
10000,1,2,4,8,120288.0,120399.0,10328025
10000,1,2,8,1,120997.0,121122.0,10328025
10000,1,2,8,4,73968.6,74081.0,10328025
10000,1,2,8,8,70047.0,70169.8,10328025
10000,1,2,10,1,100565.0,100689.0,10328025
10000,1,2,10,4,63315.4,63438.9,10328025
10000,1,2,10,8,57336.0,57458.4,10328025
10000,1,2,12,1,87017.8,87148.1,10328025
10000,1,2,12,4,55268.3,55400.3,10328025
10000,1,2,12,8,51916.2,52034.8,10328025
10000,1,2,16,1,121326.0,121475.0,10328025
10000,1,2,16,4,46063.9,46219.1,10328025
10000,1,2,16,8,45926.8,46075.4,10328025
10000,1,2,20,1,64846.3,65014.0,10328025
10000,1,2,20,4,42561.9,42728.7,10328025
10000,1,2,20,8,42648.4,42803.6,10328025
10000,1,2,24,1,118281.0,118458.0,10328025
10000,1,2,24,4,40917.8,41105.4,10328025
10000,1,2,24,8,42365.7,42543.5,10328025
10000,1,2,32,1,70630.7,70839.8,10328025
10000,1,2,32,4,43756.5,43953.3,10328025
10000,1,2,32,8,45056.3,45260.7,10328025
