N,policy,nnodes,nworkers,tileSize,MPITime,time,checksum
6000,1,4,1,1,154761.0,154854.0,3687649
6000,1,4,1,4,99227.1,99318.5,3687649
6000,1,4,1,8,89670.8,89764.0,3687649
6000,1,4,4,1,37569.9,37670.9,3687649
6000,1,4,4,4,25233.2,25343.8,3687649
6000,1,4,4,8,23370.3,23475.2,3687649
6000,1,4,8,1,22220.8,22329.3,3687649
6000,1,4,8,4,13459.4,13587.8,3687649
6000,1,4,8,8,13168.9,13306.5,3687649
6000,1,4,10,1,60175.8,60307.6,3687649
6000,1,4,10,4,12434.9,12546.2,3687649
6000,1,4,10,8,11832.1,11941.1,3687649
6000,1,4,12,1,60109.8,60226.2,3687649
6000,1,4,12,4,12202.7,12315.1,3687649
6000,1,4,12,8,11220.4,11356.1,3687649
6000,1,4,16,1,14065.5,14185.3,3687649
6000,1,4,16,4,11551.4,11675.5,3687649
6000,1,4,16,8,10711.9,10828.6,3687649
6000,1,4,20,1,60253.8,60379.4,3687649
6000,1,4,20,4,11318.8,11437.2,3687649
6000,1,4,20,8,11180.0,11312.0,3687649
6000,1,4,24,1,60152.6,60293.9,3687649
6000,1,4,24,4,11263.0,11397.9,3687649
6000,1,4,24,8,11946.6,12078.2,3687649
6000,1,4,32,1,10565.8,10726.1,3687649
6000,1,4,32,4,12644.7,12794.5,3687649
6000,1,4,32,8,13711.0,13850.8,3687649
6000,1,4,48,1,11840.4,12017.3,3687649
6000,1,4,48,4,15526.5,15702.4,3687649
6000,1,4,48,8,17321.8,17497.1,3687649
6000,1,4,64,1,13575.4,13789.1,3687649
6000,1,4,64,4,19566.0,19766.6,3687649
6000,1,4,64,8,21043.0,21294.6,3687649
