N,policy,nnodes,nworkers,tileSize,MPITime,time,checksum
10000,1,4,1,1,777603.0,777716.0,10328025
10000,1,4,1,4,501525.0,501615.0,10328025
10000,1,4,1,8,455947.0,456041.0,10328025
10000,1,4,4,1,200146.0,200248.0,10328025
10000,1,4,4,4,128718.0,128832.0,10328025
10000,1,4,4,8,117672.0,117778.0,10328025
10000,1,4,8,1,112034.0,112139.0,10328025
10000,1,4,8,4,70325.5,70423.9,10328025
10000,1,4,8,8,64967.9,65085.1,10328025
10000,1,4,10,1,182062.0,182161.0,10328025
10000,1,4,10,4,59520.3,59641.5,10328025
10000,1,4,10,8,54932.7,55048.9,10328025
10000,1,4,12,1,83660.9,83769.8,10328025
10000,1,4,12,4,54903.1,55013.2,10328025
10000,1,4,12,8,50520.5,50644.0,10328025
10000,1,4,16,1,119301.0,119440.0,10328025
10000,1,4,16,4,45725.7,45840.0,10328025
10000,1,4,16,8,46850.1,46956.4,10328025
10000,1,4,20,1,147657.0,147782.0,10328025
10000,1,4,20,4,44471.1,44602.6,10328025
10000,1,4,20,8,42840.0,42975.5,10328025
10000,1,4,24,1,55794.1,55922.2,10328025
10000,1,4,24,4,42635.8,42782.5,10328025
10000,1,4,24,8,43446.1,43576.0,10328025
10000,1,4,32,1,118779.0,118927.0,10328025
10000,1,4,32,4,43315.0,43468.6,10328025
10000,1,4,32,8,45369.0,45510.6,10328025
10000,1,4,48,1,136795.0,136976.0,10328025
10000,1,4,48,4,48669.0,48842.4,10328025
10000,1,4,48,8,54023.6,54219.1,10328025
10000,1,4,64,1,60811.4,61021.7,10328025
10000,1,4,64,4,57139.1,57346.5,10328025
10000,1,4,64,8,65176.0,65388.0,10328025
