N,policy,nnodes,nworkers,tileSize,MPITime,time,checksum
2000,1,4,1,1,2391.36,2493.73,435143
2000,1,4,1,4,2069.46,2158.93,435143
2000,1,4,1,8,2012.65,2113.41,435143
2000,1,4,4,1,1059.54,1168.12,435143
2000,1,4,4,4,723.11,829.765,435143
2000,1,4,4,8,683.937,790.612,435143
2000,1,4,8,1,806.458,945.534,435143
2000,1,4,8,4,545.952,656.785,435143
2000,1,4,8,8,591.348,701.907,435143
2000,1,4,10,1,842.944,940.012,435143
2000,1,4,10,4,524.311,657.707,435143
2000,1,4,10,8,605.571,722.247,435143
2000,1,4,12,1,816.227,938.84,435143
2000,1,4,12,4,511.036,625.665,435143
2000,1,4,12,8,627.975,737.933,435143
2000,1,4,16,1,811.474,943.519,435143
2000,1,4,16,4,530.093,662.417,435143
2000,1,4,16,8,716.122,844.223,435143
2000,1,4,20,1,820.38,952.094,435143
2000,1,4,20,4,576.133,696.913,435143
2000,1,4,20,8,778.306,907.868,435143
2000,1,4,24,1,808.12,940.275,435143
2000,1,4,24,4,624.986,769.547,435143
2000,1,4,24,8,903.747,1041.06,435143
2000,1,4,32,1,873.889,1027.08,435143
2000,1,4,32,4,735.644,884.427,435143
2000,1,4,32,8,1076.7,1226.54,435143
2000,1,4,48,1,1161.73,1341.27,435143
2000,1,4,48,4,987.97,1189.13,435143
2000,1,4,48,8,1414.14,1577.45,435143
2000,1,4,64,1,1363.08,1565.62,435143
2000,1,4,64,4,1200.98,1404.04,435143
2000,1,4,64,8,1759.92,1967.79,435143
