N,policy,nnodes,nworkers,tileSize,MPITime,time,checksum
2000,1,8,1,1,2391.36,2493.73,435143
2000,1,8,1,4,2069.46,2158.93,435143
2000,1,8,1,8,2012.65,2113.41,435143
2000,1,8,8,1,793.934,921.431,435143
2000,1,8,8,4,533.333,659.792,435143
2000,1,8,8,8,606.523,746.104,435143
2000,1,8,10,1,833.604,951.595,435143
2000,1,8,10,4,515.298,649.239,435143
2000,1,8,10,8,629.691,763.469,435143
2000,1,8,12,1,829.285,957.309,435143
2000,1,8,12,4,518.474,635.324,435143
2000,1,8,12,8,670.317,772.801,435143
2000,1,8,16,1,825.456,961.953,435143
2000,1,8,16,4,561.124,682.501,435143
2000,1,8,16,8,776.48,889.163,435143
2000,1,8,20,1,19981.7,20109.3,435143
2000,1,8,20,4,621.455,758.351,435143
2000,1,8,20,8,836.677,960.022,435143
2000,1,8,24,1,867.077,991.807,435143
2000,1,8,24,4,645.781,781.429,435143
2000,1,8,24,8,988.494,1115.32,435143
2000,1,8,32,1,948.809,1100.28,435143
2000,1,8,32,4,790.813,955.209,435143
2000,1,8,32,8,1165.52,1307.63,435143
2000,1,8,48,1,1227.83,1362.15,435143
2000,1,8,48,4,1040.49,1207.44,435143
2000,1,8,48,8,1546.49,1695.2,435143
2000,1,8,64,1,1430.14,1573.45,435143
2000,1,8,64,4,1268.86,1432.36,435143
2000,1,8,64,8,1969.68,2128.29,435143
