N,policy,nnodes,nworkers,tileSize,MPITime,time,checksum
10000,1,1,1,1,777603.0,777716.0,10328025
10000,1,1,1,4,501525.0,501615.0,10328025
10000,1,1,1,8,455947.0,456041.0,10328025
10000,1,1,2,1,420311.0,420413.0,10328025
10000,1,1,2,4,260986.0,261089.0,10328025
10000,1,1,2,8,237875.0,237975.0,10328025
10000,1,1,4,1,220923.0,221042.0,10328025
10000,1,1,4,4,139548.0,139664.0,10328025
10000,1,1,4,8,127461.0,127584.0,10328025
10000,1,1,8,1,125201.0,125351.0,10328025
10000,1,1,8,4,77018.6,77166.7,10328025
10000,1,1,8,8,68280.3,68427.7,10328025
10000,1,1,10,1,109694.0,109858.0,10328025
10000,1,1,10,4,64282.1,64447.1,10328025
10000,1,1,10,8,58582.7,58745.9,10328025
10000,1,1,12,1,94886.4,95068.5,10328025
10000,1,1,12,4,55814.9,56001.1,10328025
10000,1,1,12,8,51032.0,51203.5,10328025
10000,1,1,16,1,92946.1,93162.6,10328025
10000,1,1,16,4,74609.7,74801.9,10328025
10000,1,1,16,8,67100.9,67302.9,10328025
