N,policy,nnodes,nworkers,tileSize,MPITime,time,checksum
1000,1,2,1,1,482.136,600.154,100135
1000,1,2,1,4,320.815,427.545,100135
1000,1,2,1,8,291.475,390.509,100135
1000,1,2,2,1,259.368,353.255,100135
1000,1,2,2,4,198.341,309.843,100135
1000,1,2,2,8,165.709,266.432,100135
1000,1,2,4,1,240.431,341.933,100135
1000,1,2,4,4,133.767,255.918,100135
1000,1,2,4,8,120.29,225.1,100135
1000,1,2,8,1,240.949,344.931,100135
1000,1,2,8,4,116.198,224.931,100135
1000,1,2,8,8,114.339,238.268,100135
1000,1,2,10,1,244.385,371.036,100135
1000,1,2,10,4,108.049,235.62,100135
1000,1,2,10,8,104.363,237.043,100135
1000,1,2,12,1,244.872,383.378,100135
1000,1,2,12,4,121.998,251.771,100135
1000,1,2,12,8,112.666,240.775,100135
1000,1,2,16,1,254.212,407.083,100135
1000,1,2,16,4,129.03,285.992,100135
1000,1,2,16,8,121.882,243.552,100135
1000,1,2,20,1,281.921,452.174,100135
1000,1,2,20,4,141.512,295.674,100135
1000,1,2,20,8,137.935,290.047,100135
1000,1,2,24,1,318.668,500.127,100135
1000,1,2,24,4,149.232,327.88,100135
1000,1,2,24,8,147.053,320.816,100135
1000,1,2,32,1,333.419,539.75,100135
1000,1,2,32,4,182.559,376.636,100135
1000,1,2,32,8,173.745,388.809,100135
