N,policy,nnodes,nworkers,tileSize,MPITime,time,checksum
2000,1,1,1,1,2391.36,2493.73,435143
2000,1,1,1,4,2069.46,2158.93,435143
2000,1,1,1,8,2012.65,2113.41,435143
2000,1,1,2,1,1336.99,1438.91,435143
2000,1,1,2,4,1148.62,1253.28,435143
2000,1,1,2,8,1100.99,1193.2,435143
2000,1,1,4,1,779.493,900.261,435143
2000,1,1,4,4,656.639,774.883,435143
2000,1,1,4,8,637.861,750.927,435143
2000,1,1,8,1,486.556,627.522,435143
2000,1,1,8,4,428.084,558.055,435143
2000,1,1,8,8,456.387,607.096,435143
2000,1,1,10,1,447.929,586.174,435143
2000,1,1,10,4,392.454,559.35,435143
2000,1,1,10,8,459.303,626.441,435143
2000,1,1,12,1,428.936,604.455,435143
2000,1,1,12,4,405.655,580.914,435143
2000,1,1,12,8,413.512,590.777,435143
2000,1,1,16,1,521.855,710.792,435143
2000,1,1,16,4,456.06,662.164,435143
2000,1,1,16,8,476.091,682.491,435143
