N,policy,nnodes,nworkers,tileSize,MPITime,time,checksum
8000,1,8,8,1,51052.9,51189.3,6473351
8000,1,8,8,4,36501.4,36608.6,6473351
8000,1,8,8,8,33845.9,33972.8,6473351
8000,1,8,10,1,36816.3,36908.8,6473351
8000,1,8,10,4,30366.6,30488.0,6473351
8000,1,8,10,8,28501.2,28619.1,6473351
8000,1,8,12,1,28680.8,28800.4,6473351
8000,1,8,12,4,26479.2,26599.2,6473351
8000,1,8,12,8,26041.3,26178.7,6473351
8000,1,8,16,1,31220.8,31349.6,6473351
8000,1,8,16,4,22856.9,22970.3,6473351
8000,1,8,16,8,23521.1,23647.3,6473351
8000,1,8,20,1,26692.0,26794.0,6473351
8000,1,8,20,4,22040.2,22173.5,6473351
8000,1,8,20,8,23195.0,23312.2,6473351
8000,1,8,24,1,80266.5,80395.6,6473351
8000,1,8,24,4,22227.6,22343.0,6473351
8000,1,8,24,8,23840.0,23970.3,6473351
8000,1,8,32,1,23435.9,23577.2,6473351
8000,1,8,32,4,27150.4,27300.5,6473351
8000,1,8,32,8,28289.1,28439.8,6473351
8000,1,8,48,1,22120.6,22261.2,6473351
8000,1,8,48,4,31495.2,31652.5,6473351
8000,1,8,48,8,34664.6,34812.4,6473351
8000,1,8,64,1,26029.3,26197.6,6473351
8000,1,8,64,4,38716.2,38867.8,6473351
8000,1,8,64,8,42349.7,42503.6,6473351
