N,nworkers,policy,tileSize,chunkSize,time,checksum
6000,1,0,1,128,147986,3687649
6000,1,0,4,128,93738.5,3687649
6000,1,0,8,128,86229.7,3687649
6000,1,1,1,128,147786,3687649
6000,1,1,4,128,94841.4,3687649
6000,1,1,8,128,83942.5,3687649
6000,2,1,1,128,78805.8,3687649
6000,2,1,4,128,48957.9,3687649
6000,2,1,8,128,43706.2,3687649
6000,4,1,1,128,41041.5,3687649
6000,4,1,4,128,24876.7,3687649
6000,4,1,8,128,22199.5,3687649
6000,6,1,1,128,28170.5,3687649
6000,6,1,4,128,16860,3687649
6000,6,1,8,128,15022.3,3687649
6000,8,1,1,128,21805.4,3687649
6000,8,1,4,128,12812.4,3687649
6000,8,1,8,128,11398.6,3687649
6000,10,1,1,128,17736.2,3687649
6000,10,1,4,128,10365.2,3687649
6000,10,1,8,128,9270.61,3687649
6000,12,1,1,128,15285.4,3687649
6000,12,1,4,128,8814.63,3687649
6000,12,1,8,128,7792.09,3687649
6000,14,1,1,128,15072.6,3687649
6000,14,1,4,128,7959.52,3687649
6000,14,1,8,128,6845.2,3687649
6000,16,1,1,128,14715.6,3687649
6000,16,1,4,128,7190.5,3687649
6000,16,1,8,128,6080.07,3687649
6000,1,2,1,128,147987,3687649
6000,1,2,4,128,94449,3687649
6000,1,2,8,128,86216.7,3687649
6000,2,2,1,128,78304,3687649
6000,2,2,4,128,48747.6,3687649
6000,2,2,8,128,43701.3,3687649
6000,4,2,1,128,41007.7,3687649
6000,4,2,4,128,24884.5,3687649
6000,4,2,8,128,22202.8,3687649
6000,6,2,1,128,28149,3687649
6000,6,2,4,128,16848.5,3687649
6000,6,2,8,128,15023.9,3687649
6000,8,2,1,128,21833.5,3687649
6000,8,2,4,128,12809.1,3687649
6000,8,2,8,128,11402.4,3687649
6000,10,2,1,128,17736.8,3687649
6000,10,2,4,128,10335.2,3687649
6000,10,2,8,128,9220.49,3687649
6000,12,2,1,128,15163.9,3687649
6000,12,2,4,128,8814.41,3687649
6000,12,2,8,128,7783.85,3687649
6000,14,2,1,128,15260.1,3687649
6000,14,2,4,128,7949.21,3687649
6000,14,2,8,128,6749.34,3687649
6000,16,2,1,128,14906.9,3687649
6000,16,2,4,128,7228.45,3687649
6000,16,2,8,128,6226.79,3687649
6000,1,3,1,128,147409,3687649
6000,1,3,4,128,95128.2,3687649
6000,1,3,8,128,86503.4,3687649
6000,2,3,1,128,78321.7,3687649
6000,2,3,4,128,48770.1,3687649
6000,2,3,8,128,43718.6,3687649
6000,4,3,1,128,41060.4,3687649
6000,4,3,4,128,24882.2,3687649
6000,4,3,8,128,22217.8,3687649
6000,6,3,1,128,28163,3687649
6000,6,3,4,128,16859.7,3687649
6000,6,3,8,128,15029.4,3687649
6000,8,3,1,128,21842.3,3687649
6000,8,3,4,128,12805.5,3687649
6000,8,3,8,128,11402.6,3687649
6000,10,3,1,128,17767,3687649
6000,10,3,4,128,10360.9,3687649
6000,10,3,8,128,9216.41,3687649
6000,12,3,1,128,15174.3,3687649
6000,12,3,4,128,8787.1,3687649
6000,12,3,8,128,7736.7,3687649
6000,14,3,1,128,15103,3687649
6000,14,3,4,128,7825.14,3687649
6000,14,3,8,128,6739.62,3687649
6000,16,3,1,128,13405.6,3687649
6000,16,3,4,128,7295.12,3687649
6000,16,3,8,128,6140.25,3687649
