N,nworkers,policy,tileSize,chunkSize,time,checksum
8000,1,0,1,128,377500,6473351
8000,1,0,4,128,377689,6473351
8000,1,0,8,128,377053,6473351
8000,1,1,1,128,390702,6473351
8000,1,1,4,128,254445,6473351
8000,1,1,8,128,224902,6473351
8000,2,1,1,128,205035,6473351
8000,2,1,4,128,128186,6473351
8000,2,1,8,128,114831,6473351
8000,4,1,1,128,108640,6473351
8000,4,1,4,128,65824.9,6473351
8000,4,1,8,128,58585.8,6473351
8000,6,1,1,128,75721.1,6473351
8000,6,1,4,128,45086.6,6473351
8000,6,1,8,128,39951.1,6473351
8000,8,1,1,128,59327.3,6473351
8000,8,1,4,128,34502.6,6473351
8000,8,1,8,128,30487.7,6473351
8000,10,1,1,128,48291.5,6473351
8000,10,1,4,128,28051.6,6473351
8000,10,1,8,128,24802.1,6473351
8000,12,1,1,128,47827.5,6473351
8000,12,1,4,128,24356.5,6473351
8000,12,1,8,128,20980.3,6473351
8000,14,1,1,128,42583.1,6473351
8000,14,1,4,128,21239.4,6473351
8000,14,1,8,128,18338.1,6473351
8000,16,1,1,128,41013.7,6473351
8000,16,1,4,128,19712.8,6473351
8000,16,1,8,128,16593.2,6473351
8000,1,2,1,128,391063,6473351
8000,1,2,4,128,248733,6473351
8000,1,2,8,128,218843,6473351
8000,2,2,1,128,205164,6473351
8000,2,2,4,128,128058,6473351
8000,2,2,8,128,114976,6473351
8000,4,2,1,128,109061,6473351
8000,4,2,4,128,66030.3,6473351
8000,4,2,8,128,58622.1,6473351
8000,6,2,1,128,74974.5,6473351
8000,6,2,4,128,44718.3,6473351
8000,6,2,8,128,39752.4,6473351
8000,8,2,1,128,58238.7,6473351
8000,8,2,4,128,34111.5,6473351
8000,8,2,8,128,30233.3,6473351
8000,10,2,1,128,48644.7,6473351
8000,10,2,4,128,28138.1,6473351
8000,10,2,8,128,24819.7,6473351
8000,12,2,1,128,46253,6473351
8000,12,2,4,128,24835.6,6473351
8000,12,2,8,128,20976.6,6473351
8000,14,2,1,128,43057.5,6473351
8000,14,2,4,128,21383,6473351
8000,14,2,8,128,18242.6,6473351
8000,16,2,1,128,38207.6,6473351
8000,16,2,4,128,19127.3,6473351
8000,16,2,8,128,16212.4,6473351
8000,1,3,1,128,381684,6473351
8000,1,3,4,128,243064,6473351
8000,1,3,8,128,223583,6473351
8000,2,3,1,128,204804,6473351
8000,2,3,4,128,128154,6473351
8000,2,3,8,128,115012,6473351
8000,4,3,1,128,109111,6473351
8000,4,3,4,128,65986.1,6473351
8000,4,3,8,128,58726.8,6473351
8000,6,3,1,128,75713.6,6473351
8000,6,3,4,128,45048.7,6473351
8000,6,3,8,128,39926.1,6473351
8000,8,3,1,128,59272.1,6473351
8000,8,3,4,128,34467.3,6473351
8000,8,3,8,128,30462.1,6473351
8000,10,3,1,128,48918.5,6473351
8000,10,3,4,128,27934.1,6473351
8000,10,3,8,128,24816.6,6473351
8000,12,3,1,128,46211.5,6473351
8000,12,3,4,128,24492.9,6473351
8000,12,3,8,128,20971.2,6473351
8000,14,3,1,128,42530.2,6473351
8000,14,3,4,128,22859.7,6473351
8000,14,3,8,128,18335.1,6473351
8000,16,3,1,128,40527.5,6473351
8000,16,3,4,128,19314.4,6473351
8000,16,3,8,128,16586.1,6473351
