N,policy,nnodes,nworkers,tileSize,MPITime,time,checksum
6000,1,1,1,1,154761.0,154854.0,3687649
6000,1,1,1,4,99227.1,99318.5,3687649
6000,1,1,1,8,89670.8,89764.0,3687649
6000,1,1,2,1,86825.8,86929.0,3687649
6000,1,1,2,4,51377.4,51480.8,3687649
6000,1,1,2,8,46411.8,46517.3,3687649
6000,1,1,4,1,45747.1,45867.2,3687649
6000,1,1,4,4,28759.9,28870.6,3687649
6000,1,1,4,8,25414.1,25536.8,3687649
6000,1,1,8,1,28053.0,28200.2,3687649
6000,1,1,8,4,16221.9,16366.8,3687649
6000,1,1,8,8,14496.4,14640.1,3687649
6000,1,1,10,1,23043.0,23201.7,3687649
6000,1,1,10,4,13821.9,13986.5,3687649
6000,1,1,10,8,12354.3,12520.9,3687649
6000,1,1,12,1,21921.9,22085.0,3687649
6000,1,1,12,4,12005.3,12179.7,3687649
6000,1,1,12,8,11192.6,11374.4,3687649
6000,1,1,16,1,19695.4,19908.9,3687649
6000,1,1,16,4,15521.8,15722.4,3687649
6000,1,1,16,8,14138.5,14324.6,3687649
