N,policy,nnodes,nworkers,tileSize,MPITime,time,checksum
6000,1,2,1,1,155910.0,156004.0,3687649
6000,1,2,1,4,97482.1,97576.9,3687649
6000,1,2,1,8,89953.8,90060.4,3687649
6000,1,2,2,1,78102.7,78204.8,3687649
6000,1,2,2,4,49774.4,49878.3,3687649
6000,1,2,2,8,45301.3,45413.2,3687649
6000,1,2,4,1,38456.7,38564.5,3687649
6000,1,2,4,4,27281.4,27407.0,3687649
6000,1,2,4,8,23726.7,23850.1,3687649
6000,1,2,8,1,60128.7,60252.1,3687649
6000,1,2,8,4,16183.4,16297.3,3687649
6000,1,2,8,8,14768.3,14879.4,3687649
6000,1,2,10,1,60047.4,60175.3,3687649
6000,1,2,10,4,13415.3,13543.5,3687649
6000,1,2,10,8,12972.5,13104.6,3687649
6000,1,2,12,1,18802.9,18945.2,3687649
6000,1,2,12,4,12515.0,12651.4,3687649
6000,1,2,12,8,11963.3,12085.2,3687649
6000,1,2,16,1,60139.8,60277.4,3687649
6000,1,2,16,4,11453.7,11588.0,3687649
6000,1,2,16,8,11141.4,11298.7,3687649
6000,1,2,20,1,14465.0,14625.5,3687649
6000,1,2,20,4,11030.2,11201.7,3687649
6000,1,2,20,8,11095.9,11254.6,3687649
6000,1,2,24,1,13525.9,13704.3,3687649
6000,1,2,24,4,10751.4,10916.5,3687649
6000,1,2,24,8,11386.9,11567.0,3687649
6000,1,2,32,1,15509.2,15715.3,3687649
6000,1,2,32,4,11833.3,12033.4,3687649
6000,1,2,32,8,12739.5,12952.2,3687649
