N,policy,nnodes,nworkers,tileSize,MPITime,time,checksum
8000,1,2,1,1,422924.0,423032.0,6473351
8000,1,2,1,4,266149.0,266247.0,6473351
8000,1,2,1,8,236898.0,236997.0,6473351
8000,1,2,2,1,215880.0,215974.0,6473351
8000,1,2,2,4,134121.0,134223.0,6473351
8000,1,2,2,8,119275.0,119375.0,6473351
8000,1,2,4,1,113046.0,113152.0,6473351
8000,1,2,4,4,73092.3,73207.0,6473351
8000,1,2,4,8,62861.0,62975.4,6473351
8000,1,2,8,1,69332.2,69454.3,6473351
8000,1,2,8,4,42247.8,42366.9,6473351
8000,1,2,8,8,36958.6,37081.4,6473351
8000,1,2,10,1,57436.5,57567.1,6473351
8000,1,2,10,4,35045.9,35190.1,6473351
8000,1,2,10,8,30668.6,30795.4,6473351
8000,1,2,12,1,49988.2,50126.6,6473351
8000,1,2,12,4,30492.2,30627.6,6473351
8000,1,2,12,8,28284.3,28430.3,6473351
8000,1,2,16,1,42430.8,42579.9,6473351
8000,1,2,16,4,26386.8,26541.7,6473351
8000,1,2,16,8,25409.6,25557.4,6473351
8000,1,2,20,1,80330.8,80495.6,6473351
8000,1,2,20,4,24764.7,24932.0,6473351
8000,1,2,20,8,24533.3,24719.3,6473351
8000,1,2,24,1,34893.6,35074.7,6473351
8000,1,2,24,4,24155.6,24329.9,6473351
8000,1,2,24,8,24592.7,24768.3,6473351
8000,1,2,32,1,39796.0,39994.8,6473351
8000,1,2,32,4,25189.6,25400.5,6473351
8000,1,2,32,8,26035.0,26239.4,6473351
