N,policy,nnodes,nworkers,tileSize,MPITime,time,checksum
2000,1,8,8,1,793.934,921.431,435143
2000,1,8,8,4,533.333,659.792,435143
2000,1,8,8,8,606.523,746.104,435143
2000,1,8,10,1,833.604,951.595,435143
2000,1,8,10,4,515.298,649.239,435143
2000,1,8,10,8,629.691,763.469,435143
2000,1,8,12,1,829.285,957.309,435143
2000,1,8,12,4,518.474,635.324,435143
2000,1,8,12,8,670.317,772.801,435143
2000,1,8,16,1,825.456,961.953,435143
2000,1,8,16,4,561.124,682.501,435143
2000,1,8,16,8,776.48,889.163,435143
2000,1,8,20,1,19981.7,20109.3,435143
