N,policy,nnodes,nworkers,tileSize,MPITime,time,checksum
4000,1,1,1,1,45309.4,45397.9,1790845
4000,1,1,1,4,28902.2,29003.2,1790845
4000,1,1,1,8,26332.4,26434.3,1790845
4000,1,1,2,1,26425.1,26517.6,1790845
4000,1,1,2,4,14923.0,15035.5,1790845
4000,1,1,2,8,13855.0,13956.9,1790845
4000,1,1,4,1,13071.2,13190.6,1790845
4000,1,1,4,4,8496.65,8602.1,1790845
4000,1,1,4,8,7806.75,7929.52,1790845
4000,1,1,8,1,8275.94,8431.52,1790845
4000,1,1,8,4,5152.64,5293.37,1790845
4000,1,1,8,8,4789.59,4940.93,1790845
4000,1,1,10,1,7792.34,7953.06,1790845
4000,1,1,10,4,4438.9,4584.86,1790845
4000,1,1,10,8,4254.99,4410.96,1790845
4000,1,1,12,1,7035.54,7214.04,1790845
4000,1,1,12,4,4414.08,4585.59,1790845
4000,1,1,12,8,3852.85,4034.47,1790845
4000,1,1,16,1,8236.62,8441.59,1790845
4000,1,1,16,4,4974.96,5173.06,1790845
4000,1,1,16,8,4577.97,4773.19,1790845
