N,policy,nnodes,nworkers,tileSize,MPITime,time,checksum
10000,1,8,8,1,103861.0,103971.0,10328025
10000,1,8,8,4,68765.5,68898.6,10328025
10000,1,8,8,8,63425.6,63559.9,10328025
10000,1,8,10,1,82970.7,83088.0,10328025
10000,1,8,10,4,58779.6,58893.0,10328025
10000,1,8,10,8,54961.2,55080.0,10328025
10000,1,8,12,1,69069.0,69187.8,10328025
10000,1,8,12,4,51766.5,51893.9,10328025
10000,1,8,12,8,49497.4,49614.4,10328025
10000,1,8,16,1,52269.5,52389.8,10328025
10000,1,8,16,4,43799.0,43914.2,10328025
10000,1,8,16,8,43179.7,43289.7,10328025
10000,1,8,20,1,55181.5,55296.9,10328025
10000,1,8,20,4,39684.1,39822.3,10328025
10000,1,8,20,8,41273.8,41416.8,10328025
10000,1,8,24,1,49838.1,49945.6,10328025
10000,1,8,24,4,42179.7,42306.6,10328025
10000,1,8,24,8,41153.1,41285.5,10328025
10000,1,8,32,1,51112.6,51248.4,10328025
10000,1,8,32,4,44351.8,44481.5,10328025
10000,1,8,32,8,47110.1,47240.2,10328025
10000,1,8,48,1,49611.2,49766.5,10328025
10000,1,8,48,4,50556.1,50714.5,10328025
10000,1,8,48,8,55951.8,56098.7,10328025
10000,1,8,64,1,135589.0,135745.0,10328025
10000,1,8,64,4,60919.3,61077.3,10328025
10000,1,8,64,8,67072.6,67234.6,10328025
