N,policy,nnodes,nworkers,tileSize,MPITime,time,checksum
6000,1,8,8,1,14526.0,14630.9,3687649
6000,1,8,8,4,13447.7,13555.4,3687649
6000,1,8,8,8,13156.0,13253.6,3687649
6000,1,8,10,1,11509.7,11630.9,3687649
6000,1,8,10,4,11717.1,11831.7,3687649
6000,1,8,10,8,11686.5,11791.8,3687649
6000,1,8,12,1,10263.8,10373.0,3687649
6000,1,8,12,4,10680.0,10784.3,3687649
6000,1,8,12,8,10973.4,11097.6,3687649
6000,1,8,16,1,10041.9,10155.3,3687649
6000,1,8,16,4,10228.2,10368.9,3687649
6000,1,8,16,8,10589.5,10735.6,3687649
6000,1,8,20,1,8951.41,9097.87,3687649
6000,1,8,20,4,10459.5,10599.3,3687649
6000,1,8,20,8,10853.0,11008.3,3687649
6000,1,8,24,1,8807.06,8921.43,3687649
6000,1,8,24,4,11324.5,11470.4,3687649
6000,1,8,24,8,11943.2,12072.8,3687649
6000,1,8,32,1,9484.83,9609.19,3687649
6000,1,8,32,4,12455.6,12594.5,3687649
6000,1,8,32,8,14075.1,14226.9,3687649
6000,1,8,48,1,10439.1,10587.7,3687649
6000,1,8,48,4,16243.5,16388.9,3687649
6000,1,8,48,8,17798.3,17943.2,3687649
6000,1,8,64,1,60135.7,60291.4,3687649
6000,1,8,64,4,20418.1,20595.7,3687649
6000,1,8,64,8,21971.7,22129.2,3687649
