N,nworkers,policy,tileSize,chunkSize,time,checksum
4000,1,0,1,128,37813.1,1790845
4000,1,0,4,128,37492.6,1790845
4000,1,0,8,128,37372.9,1790845
4000,1,1,1,128,40085.1,1790845
4000,1,1,4,128,28168.6,1790845
4000,1,1,8,128,25389.2,1790845
4000,2,1,1,128,20880.6,1790845
4000,2,1,4,128,14373.4,1790845
4000,2,1,8,128,13154,1790845
4000,4,1,1,128,11149.8,1790845
4000,4,1,4,128,7390.02,1790845
4000,4,1,8,128,6774.34,1790845
4000,6,1,1,128,7836.56,1790845
4000,6,1,4,128,5013.74,1790845
4000,6,1,8,128,4563.38,1790845
4000,8,1,1,128,5972.73,1790845
4000,8,1,4,128,3803.83,1790845
4000,8,1,8,128,3455.07,1790845
4000,10,1,1,128,4746.71,1790845
4000,10,1,4,128,3052,1790845
4000,10,1,8,128,2790.33,1790845
4000,12,1,1,128,3772.21,1790845
4000,12,1,4,128,2536.03,1790845
4000,12,1,8,128,2382.56,1790845
4000,14,1,1,128,3095,1790845
4000,14,1,4,128,2146.26,1790845
4000,14,1,8,128,2010.92,1790845
4000,16,1,1,128,2694.46,1790845
4000,16,1,4,128,1883.95,1790845
4000,16,1,8,128,1861,1790845
4000,1,2,1,128,38678.6,1790845
4000,1,2,4,128,28014,1790845
4000,1,2,8,128,24983.4,1790845
4000,2,2,1,128,20842.9,1790845
4000,2,2,4,128,14280.2,1790845
4000,2,2,8,128,13090.2,1790845
4000,4,2,1,128,11211.1,1790845
4000,4,2,4,128,7357.65,1790845
4000,4,2,8,128,6705.78,1790845
4000,6,2,1,128,7737.6,1790845
4000,6,2,4,128,4999.62,1790845
4000,6,2,8,128,4550.18,1790845
4000,8,2,1,128,5991.45,1790845
4000,8,2,4,128,3794.77,1790845
4000,8,2,8,128,3455.25,1790845
4000,10,2,1,128,4720.26,1790845
4000,10,2,4,128,3049.76,1790845
4000,10,2,8,128,2791.91,1790845
4000,12,2,1,128,3774.5,1790845
4000,12,2,4,128,2487.61,1790845
4000,12,2,8,128,2338.64,1790845
4000,14,2,1,128,3009.99,1790845
4000,14,2,4,128,2101.6,1790845
4000,14,2,8,128,1978.42,1790845
4000,16,2,1,128,2601.59,1790845
4000,16,2,4,128,1878.25,1790845
4000,16,2,8,128,1785.09,1790845
4000,1,3,1,128,38497.1,1790845
4000,1,3,4,128,27642.9,1790845
4000,1,3,8,128,24951.4,1790845
4000,2,3,1,128,20724.3,1790845
4000,2,3,4,128,14280.4,1790845
4000,2,3,8,128,13082.9,1790845
4000,4,3,1,128,11191.2,1790845
4000,4,3,4,128,7345.21,1790845
4000,4,3,8,128,6713.71,1790845
4000,6,3,1,128,7714.33,1790845
4000,6,3,4,128,5008.13,1790845
4000,6,3,8,128,4543.82,1790845
4000,8,3,1,128,6042.08,1790845
4000,8,3,4,128,3797.52,1790845
4000,8,3,8,128,3456.77,1790845
4000,10,3,1,128,4770.57,1790845
4000,10,3,4,128,3062.35,1790845
4000,10,3,8,128,2802.29,1790845
4000,12,3,1,128,3755.95,1790845
4000,12,3,4,128,2517.44,1790845
4000,12,3,8,128,2383,1790845
4000,14,3,1,128,3224.06,1790845
4000,14,3,4,128,2137.27,1790845
4000,14,3,8,128,2031.89,1790845
4000,16,3,1,128,2538.86,1790845
4000,16,3,4,128,1864.62,1790845
4000,16,3,8,128,1789.49,1790845
