N,nworkers,policy,tileSize,chunkSize
8000,24,3,1,32,32443.1 
8000,24,3,1,64,32280.2 
8000,24,3,1,128,33363.4 
8000,24,3,4,32,27960.5 
8000,24,3,4,64,28499.5 
8000,24,3,4,128,30188.3 
8000,24,3,8,32,31347.8 
8000,24,3,8,64,28952 
8000,24,3,8,128,28947.6 
8000,32,3,1,32,64899.9 
8000,32,3,1,64,50272 
8000,32,3,1,128,68240.2 
8000,32,3,4,32,36583.1 
8000,32,3,4,64,36068.2 
8000,32,3,4,128,24061.5 
8000,32,3,8,32,23370.1 
8000,32,3,8,64,24368.7 
8000,32,3,8,128,23849.9 
