nworkers,time,speedup,efficiency
1,203.2,1.0,100.0
2,134.8,1.507,75.37
4,84.84,2.395,59.88
6,70.47,2.884,48.07
8,70.86,2.868,35.85
10,70.62,2.878,28.78
12,80.04,2.539,21.16
14,84.45,2.406,17.19
16,90.57,2.244,14.02
24,107.5,1.891,7.877
32,129.9,1.565,4.889
