nworkers,time,speedup,efficiency
1,52820.0,1.0,100.0
2,26630.0,1.983,99.15
4,13250.0,3.985,99.63
6,8854.0,5.965,99.42
8,6789.0,7.779,97.24
10,5431.0,9.725,97.25
12,4571.0,11.55,96.29
14,3950.0,13.37,95.51
16,3512.0,15.04,93.99
24,2445.0,21.6,90.01
32,1928.0,27.39,85.59
