nworkers,time,speedup,efficiency
1,2941.0,1.0,100.0
2,1213.0,2.424,121.2
4,616.6,4.77,119.3
6,393.3,7.478,124.6
8,296.5,9.92,124.0
10,252.9,11.63,116.3
12,216.9,13.56,113.0
14,198.3,14.83,105.9
16,180.8,16.27,101.7
24,146.6,20.06,83.59
32,135.5,21.71,67.84
