nworkers,time,speedup,efficiency
1,15690.0,1.0,100.0
2,8225.0,1.908,95.38
4,3940.0,3.982,99.56
6,2532.0,6.197,103.3
8,1980.0,7.924,99.05
10,1560.0,10.06,100.6
12,1290.0,12.16,101.4
14,1127.0,13.92,99.44
16,1017.0,15.43,96.42
24,710.5,22.08,92.01
32,583.1,26.91,84.09
