N,nworkers,policy,tileSize,chunkSize,time
500,1,0,1,1,26.3839 
500,1,0,4,1,26.3981 
500,1,0,8,1,26.3595 
500,1,1,1,1,33.6334 
500,1,1,4,1,31.7353 
500,1,1,8,1,31.4562 
500,2,1,1,1,23.7911 
500,2,1,4,1,19.7094 
500,2,1,8,1,19.616 
500,4,1,1,1,23.4951 
500,4,1,4,1,14.0412 
500,4,1,8,1,13.1486 
500,6,1,1,1,24.9003 
500,6,1,4,1,13.7543 
500,6,1,8,1,11.4592 
500,8,1,1,1,30.1034 
500,8,1,4,1,13.2976 
500,8,1,8,1,10.8856 
500,10,1,1,1,32.2493 
500,10,1,4,1,13.6644 
500,10,1,8,1,10.591 
500,12,1,1,1,37.5971 
500,12,1,4,1,13.8754 
500,12,1,8,1,10.296 
500,14,1,1,1,35.6215 
500,14,1,4,1,13.5444 
500,14,1,8,1,10.0815 
500,16,1,1,1,36.9589 
500,16,1,4,1,13.4729 
500,16,1,8,1,9.91699 
500,24,1,1,1,50.7477 
500,24,1,4,1,17.1376 
500,24,1,8,1,11.1547 
500,32,1,1,1,66.3164 
500,32,1,4,1,20.0284 
500,32,1,8,1,12.4736 
500,1,2,1,1,32.427 
500,1,2,4,1,31.3963 
500,1,2,8,1,31.3385 
500,2,2,1,1,27.2375 
500,2,2,4,1,20.1511 
500,2,2,8,1,19.4227 
500,4,2,1,1,21.6361 
500,4,2,4,1,13.9692 
500,4,2,8,1,12.965 
500,6,2,1,1,26.8189 
500,6,2,4,1,13.2016 
500,6,2,8,1,11.4839 
500,8,2,1,1,29.9101 
500,8,2,4,1,13.4012 
500,8,2,8,1,10.8835 
500,10,2,1,1,33.8387 
500,10,2,4,1,13.4558 
500,10,2,8,1,10.3804 
500,12,2,1,1,34.1269 
500,12,2,4,1,13.5196 
500,12,2,8,1,10.1208 
500,14,2,1,1,34.0715 
500,14,2,4,1,12.7789 
500,14,2,8,1,9.84695 
500,16,2,1,1,34.0338 
500,16,2,4,1,13.1014 
500,16,2,8,1,9.58169 
500,24,2,1,1,49.9517 
500,24,2,4,1,16.6273 
500,24,2,8,1,10.8316 
500,32,2,1,1,63.9397 
500,32,2,4,1,19.2508 
500,32,2,8,1,12.4037 
500,1,3,1,32,32.6101 
500,1,3,1,64,32.4773 
500,1,3,1,128,32.58 
500,1,3,4,32,31.5294 
500,1,3,4,64,31.4255 
500,1,3,4,128,31.3527 
500,1,3,8,32,31.308 
500,1,3,8,64,31.3639 
500,1,3,8,128,31.4183 
500,2,3,1,32,28.0487 
500,2,3,1,64,28.2231 
500,2,3,1,128,27.6925 
500,2,3,4,32,21.1151 
500,2,3,4,64,21.2565 
500,2,3,4,128,21.4024 
500,2,3,8,32,19.9645 
500,2,3,8,64,20.2716 
500,2,3,8,128,20.0788 
500,4,3,1,32,26.0386 
500,4,3,1,64,24.413 
500,4,3,1,128,25.7124 
500,4,3,4,32,14.439 
500,4,3,4,64,14.9805 
500,4,3,4,128,14.7437 
500,4,3,8,32,13.7372 
500,4,3,8,64,13.3849 
500,4,3,8,128,13.5544 
500,6,3,1,32,23.1075 
500,6,3,1,64,23.8693 
500,6,3,1,128,21.5759 
500,6,3,4,32,12.1801 
500,6,3,4,64,12.0413 
500,6,3,4,128,12.5529 
500,6,3,8,32,11.1063 
500,6,3,8,64,11.1004 
500,6,3,8,128,11.2915 
500,8,3,1,32,26.0488 
500,8,3,1,64,26.0585 
500,8,3,1,128,29.0761 
500,8,3,4,32,12.9843 
500,8,3,4,64,13.1185 
500,8,3,4,128,13.6323 
500,8,3,8,32,11.102 
500,8,3,8,64,10.9178 
500,8,3,8,128,10.6588 
500,10,3,1,32,32.3051 
500,10,3,1,64,34.441 
500,10,3,1,128,33.0474 
500,10,3,4,32,13.6685 
500,10,3,4,64,13.1801 
500,10,3,4,128,13.4256 
500,10,3,8,32,10.3881 
500,10,3,8,64,10.2415 
500,10,3,8,128,10.2992 
500,12,3,1,32,29.9728 
500,12,3,1,64,28.8454 
500,12,3,1,128,27.7609 
500,12,3,4,32,12.0101 
500,12,3,4,64,12.0119 
500,12,3,4,128,11.5825 
500,12,3,8,32,9.43294 
500,12,3,8,64,9.30237 
500,12,3,8,128,9.51553 
500,14,3,1,32,29.6243 
500,14,3,1,64,37.6295 
500,14,3,1,128,38.2872 
500,14,3,4,32,14.1361 
500,14,3,4,64,13.9947 
500,14,3,4,128,14.1612 
500,14,3,8,32,10.28 
500,14,3,8,64,10.2529 
500,14,3,8,128,10.227 
500,16,3,1,32,37.9386 
500,16,3,1,64,37.6053 
500,16,3,1,128,36.9654 
500,16,3,4,32,13.5147 
500,16,3,4,64,13.9136 
500,16,3,4,128,13.6116 
500,16,3,8,32,10.5853 
500,16,3,8,64,10.3384 
500,16,3,8,128,10.3581 
500,24,3,1,32,52.6806 
500,24,3,1,64,53.7016 
500,24,3,1,128,53.4855 
500,24,3,4,32,17.462 
500,24,3,4,64,17.2715 
500,24,3,4,128,17.3645 
500,24,3,8,32,11.2412 
500,24,3,8,64,11.3929 
500,24,3,8,128,11.1166 
500,32,3,1,32,67.3891 
500,32,3,1,64,63.9641 
500,32,3,1,128,63.9821 
500,32,3,4,32,19.794 
500,32,3,4,64,20.2997 
500,32,3,4,128,20.2579 
