nworkers,time,speedup,efficiency
1,2941.0,1.0,100.0
2,1141.0,2.578,128.9
4,581.7,5.056,126.4
6,388.4,7.572,126.2
8,297.2,9.897,123.7
10,251.9,11.68,116.8
12,213.9,13.75,114.6
14,193.7,15.19,108.5
16,174.6,16.85,105.3
24,134.2,21.92,91.34
32,118.9,24.74,77.31
