nworkers,time,speedup,efficiency
1,203.2,1.0,100.0
2,113.1,1.797,89.87
4,64.0,3.175,79.38
6,46.33,4.387,73.11
8,39.9,5.093,63.66
10,36.02,5.642,56.42
12,35.46,5.731,47.76
14,35.1,5.79,41.35
16,36.4,5.583,34.89
24,37.23,5.459,22.75
32,41.37,4.913,15.35
