nworkers,time,speedup,efficiency
1,243400.0,1.0,100.0
2,121400.0,2.004,100.2
4,61550.0,3.955,98.87
6,43030.0,5.657,94.28
8,31130.0,7.819,97.73
10,25120.0,9.688,96.88
12,21400.0,11.37,94.77
14,18460.0,13.18,94.17
16,16280.0,14.95,93.44
24,11350.0,21.45,89.38
32,8929.0,27.26,85.19
