nworkers,time,speedup,efficiency
1,243400.0,1.0,100.0
2,121500.0,2.003,100.1
4,61410.0,3.963,99.08
6,41020.0,5.934,98.9
8,31100.0,7.827,97.83
10,25030.0,9.723,97.23
12,20980.0,11.6,96.68
14,19160.0,12.7,90.73
16,16150.0,15.07,94.19
24,11430.0,21.3,88.74
32,8681.0,28.04,87.62
