nworkers,time,speedup,efficiency
1,203.2,1.0,100.0
2,112.4,1.809,90.44
4,64.27,3.162,79.05
6,48.75,4.169,69.48
8,39.66,5.124,64.04
10,37.65,5.398,53.98
12,36.59,5.555,46.29
14,34.58,5.877,41.98
16,33.98,5.98,37.37
24,37.32,5.446,22.69
32,40.98,4.96,15.5
