nworkers,time,speedup,efficiency
1,203.2,1.0,100.0
2,135.7,1.498,74.89
4,85.01,2.391,59.76
6,67.42,3.014,50.24
8,71.15,2.856,35.7
10,69.99,2.904,29.04
12,79.02,2.572,21.43
14,83.05,2.447,17.48
16,93.82,2.166,13.54
24,105.7,1.922,8.009
32,135.7,1.498,4.682
