nworkers,time,speedup,efficiency
1,243400.0,1.0,100.0
2,135000.0,1.803,90.15
4,63090.0,3.858,96.45
6,43290.0,5.622,93.7
8,32560.0,7.474,93.43
10,26210.0,9.287,92.87
12,21960.0,11.09,92.38
14,20560.0,11.84,84.58
16,20570.0,11.83,73.95
24,19360.0,12.57,52.37
32,29650.0,8.21,25.66
