N,nworkers,policy,tileSize,chunkSize,time
2000,6,3,1,32,509.933
2000,6,3,1,64,511.128
2000,6,3,1,128,506.082
2000,6,3,4,32,453.467
2000,6,3,4,64,454.28
2000,6,3,4,128,454.354
2000,6,3,8,32,452.093
2000,6,3,8,64,451.506
2000,6,3,8,128,452.042
2000,6,3,16,32,464.918
2000,6,3,16,64,465.687
2000,6,3,16,128,465.909
2000,8,1,1,1,435.366
2000,8,1,4,1,369.795
2000,8,1,8,1,367.016
2000,8,1,16,1,380.818
2000,8,2,1,1,439.043
2000,8,2,4,1,368.163
2000,8,2,8,1,367.204
2000,8,2,16,1,380.904
2000,8,3,1,32,433.67
2000,8,3,1,64,431.659
2000,8,3,1,128,431.187
2000,8,3,4,32,368.301
2000,8,3,4,64,369.433
2000,8,3,4,128,367.27
2000,8,3,8,32,367.102
2000,8,3,8,64,367.125
2000,8,3,8,128,366.974
2000,8,3,16,32,381.584
2000,8,3,16,64,380.894
2000,8,3,16,128,380.859
2000,10,1,1,1,387.338
2000,10,1,4,1,317.524
2000,10,1,8,1,315.947
2000,10,1,16,1,330.178
2000,10,2,1,1,385.773
2000,10,2,4,1,316.881
2000,10,2,8,1,316.318
2000,10,2,16,1,330.317
2000,10,3,1,32,387.903
2000,10,3,1,64,396.736
2000,10,3,1,128,388.403
2000,10,3,4,32,319.054
2000,10,3,4,64,317.868
2000,10,3,4,128,317.562
2000,10,3,8,32,317.5
2000,10,3,8,64,315.118
2000,10,3,8,128,315.947
2000,10,3,16,32,329.768
2000,10,3,16,64,331.365
2000,10,3,16,128,330.72
2000,12,1,1,1,362.728
2000,12,1,4,1,284.92
2000,12,1,8,1,282.817
2000,12,1,16,1,296.581
2000,12,2,1,1,364.571
2000,12,2,4,1,285.574
2000,12,2,8,1,283.178
2000,12,2,16,1,296.319
2000,12,3,1,32,360.202
2000,12,3,1,64,381.517
2000,12,3,1,128,361.95
2000,12,3,4,32,285.272
2000,12,3,4,64,285.555
2000,12,3,4,128,285.11
2000,12,3,8,32,282.572
2000,12,3,8,64,281.692
2000,12,3,8,128,282.22
2000,12,3,16,32,296.437
2000,12,3,16,64,297.456
2000,12,3,16,128,296.285
2000,14,1,1,1,351.88
2000,14,1,4,1,261.817
2000,14,1,8,1,259.203
2000,14,1,16,1,272.514
2000,14,2,1,1,351.197
2000,14,2,4,1,264.672
2000,14,2,8,1,260.145
2000,14,2,16,1,272.48
2000,14,3,1,32,352.807
2000,14,3,1,64,356.424
2000,14,3,1,128,352.76
