N,nworkers,tileSize,MPITime,totalTime
500,1,1,32.5272,94.046
500,1,4,32.2493,93.769
500,1,8,32.2229,93.177
500,1,1,35.1058,96.215
500,1,4,31.022,91.301
500,1,8,30.3524,92.005
500,2,1,27.8003,86.345
500,2,4,22.9517,82.4
500,2,8,22.3948,85.601
500,4,1,18.8755,79.689
500,4,4,15.9646,82.691
500,4,8,15.6318,81.956
500,6,1,15.6334,77.981
500,6,4,13.672,88.668
500,6,8,13.6668,82.389
500,8,1,14.8162,80.112
500,8,4,13.0538,85.259
500,8,8,13.3722,86.231
500,10,1,14.7325,82.65
500,10,4,13.1201,88.955
500,10,8,13.3931,89.654
500,12,1,15.274,87.96
500,12,4,13.3955,93.089
500,12,8,13.9292,93.367
500,14,1,16.1963,100.158
500,14,4,14.2796,98.679
500,14,8,14.6125,98.717
500,16,1,17.601,108.941
500,16,4,15.2623,109.373
500,16,8,15.3645,106.671
