nworkers,time,speedup,efficiency
1,243400.0,1.0,100.0
2,121700.0,2.001,100.0
4,61680.0,3.946,98.65
6,41230.0,5.904,98.39
8,31720.0,7.672,95.9
10,25140.0,9.682,96.82
12,21120.0,11.53,96.05
14,18550.0,13.12,93.73
16,16230.0,15.0,93.73
24,10990.0,22.15,92.29
32,11850.0,20.54,64.18
