nworkers,time,speedup,efficiency
1,52820.0,1.0,100.0
2,37120.0,1.423,71.15
4,19170.0,2.756,68.89
6,9811.0,5.383,89.72
8,7872.0,6.709,83.87
10,7378.0,7.158,71.58
12,4822.0,10.95,91.27
14,4399.0,12.01,85.75
16,3894.0,13.56,84.77
24,2791.0,18.92,78.85
32,2613.0,20.21,63.17
