nworkers,time,speedup,efficiency
1,203.2,1.0,100.0
2,112.3,1.81,90.52
4,63.77,3.187,79.67
6,48.29,4.208,70.14
8,39.47,5.149,64.36
10,37.64,5.4,54.0
12,37.32,5.445,45.38
14,33.19,6.124,43.74
16,35.2,5.773,36.08
24,36.46,5.574,23.23
32,41.7,4.873,15.23
