nworkers,time,speedup,efficiency
1,2941.0,1.0,100.0
2,2369.0,1.242,62.08
4,630.2,4.667,116.7
6,431.7,6.813,113.6
8,347.8,8.456,105.7
10,319.6,9.203,92.03
12,306.6,9.594,79.95
14,293.1,10.04,71.68
16,300.3,9.793,61.21
24,274.0,10.74,44.73
32,320.0,9.192,28.73
