nworkers,time,speedup,efficiency
1,610700.0,1.0,100.0
2,320500.0,1.905,95.27
4,162300.0,3.763,94.07
6,108600.0,5.625,93.75
8,85380.0,7.153,89.41
10,75850.0,8.051,80.51
12,62440.0,9.78,81.5
14,60050.0,10.17,72.65
16,58120.0,10.51,65.67
24,51490.0,11.86,49.42
32,60930.0,10.02,31.32
