N,nworkers,policy,tileSize,chunkSize,time,checksum
6000,1,0,1,128,535736,3687649
6000,1,0,4,128,321572,3687649
6000,1,0,8,128,242259,3687649
6000,1,1,1,128,247749,3687649
6000,1,1,4,128,246228,3687649
6000,1,1,8,128,260358,3687649
6000,2,1,1,128,122294,3687649
6000,2,1,4,128,123643,3687649
6000,2,1,8,128,122686,3687649
6000,4,1,1,128,62432.4,3687649
6000,4,1,4,128,61432.5,3687649
6000,4,1,8,128,62224.8,3687649
6000,6,1,1,128,41735.7,3687649
6000,6,1,4,128,41703.5,3687649
6000,6,1,8,128,41388.9,3687649
6000,8,1,1,128,32217.7,3687649
6000,8,1,4,128,31790.1,3687649
6000,8,1,8,128,31266,3687649
6000,10,1,1,128,26621.4,3687649
6000,10,1,4,128,26578.7,3687649
6000,10,1,8,128,25047.6,3687649
6000,12,1,1,128,22789.3,3687649
6000,12,1,4,128,20918.3,3687649
6000,12,1,8,128,21295.3,3687649
6000,14,1,1,128,19885.6,3687649
6000,14,1,4,128,18121.7,3687649
6000,14,1,8,128,18184,3687649
6000,16,1,1,128,18241.5,3687649
6000,16,1,4,128,16190.9,3687649
6000,16,1,8,128,16097.6,3687649
6000,1,2,1,128,254588,3687649
6000,1,2,4,128,247148,3687649
6000,1,2,8,128,246410,3687649
6000,2,2,1,128,122060,3687649
6000,2,2,4,128,122652,3687649
6000,2,2,8,128,122521,3687649
6000,4,2,1,128,63197.4,3687649
6000,4,2,4,128,62230.1,3687649
6000,4,2,8,128,62092.7,3687649
6000,6,2,1,128,41930.6,3687649
6000,6,2,4,128,41611.2,3687649
6000,6,2,8,128,41522.4,3687649
6000,8,2,1,128,32301.5,3687649
6000,8,2,4,128,31152.5,3687649
6000,8,2,8,128,31491,3687649
6000,10,2,1,128,26405.2,3687649
6000,10,2,4,128,25254.7,3687649
6000,10,2,8,128,25864.5,3687649
6000,12,2,1,128,22305.2,3687649
6000,12,2,4,128,21113.2,3687649
6000,12,2,8,128,21180.7,3687649
6000,14,2,1,128,19726,3687649
6000,14,2,4,128,18122.2,3687649
6000,14,2,8,128,19573.9,3687649
6000,16,2,1,128,18102.9,3687649
6000,16,2,4,128,16187.7,3687649
6000,16,2,8,128,16380.6,3687649
6000,1,3,1,128,249922,3687649
6000,1,3,4,128,245054,3687649
6000,1,3,8,128,248419,3687649
6000,2,3,1,128,234660,3687649
6000,2,3,4,128,290172,3687649
6000,2,3,8,128,133924,3687649
6000,4,3,1,128,145390,3687649
6000,4,3,4,128,61788,3687649
6000,4,3,8,128,61373.1,3687649
6000,6,3,1,128,41936,3687649
6000,6,3,4,128,41204.5,3687649
6000,6,3,8,128,41662.4,3687649
6000,8,3,1,128,31890.8,3687649
6000,8,3,4,128,31083.8,3687649
6000,8,3,8,128,31238,3687649
6000,10,3,1,128,25754.7,3687649
6000,10,3,4,128,26635.3,3687649
6000,10,3,8,128,25137.8,3687649
6000,12,3,1,128,22287.3,3687649
6000,12,3,4,128,21188.9,3687649
6000,12,3,8,128,22495.5,3687649
6000,14,3,1,128,20118.3,3687649
6000,14,3,4,128,18040.8,3687649
6000,14,3,8,128,18235.9,3687649
6000,16,3,1,128,18202.6,3687649
6000,16,3,4,128,16141.1,3687649
6000,16,3,8,128,16125.4,3687649
