N,nworkers,policy,tileSize,chunkSize,time,checksum
1000,1,0,1,128,204.224,100135
1000,1,0,4,128,201.698,100135
1000,1,0,8,128,200.074,100135
1000,1,1,1,128,215.949,100135
1000,1,1,4,128,208.48,100135
1000,1,1,8,128,206.203,100135
1000,2,1,1,128,130.307,100135
1000,2,1,4,128,111.573,100135
1000,2,1,8,128,109.772,100135
1000,4,1,1,128,79.4207,100135
1000,4,1,4,128,61.8794,100135
1000,4,1,8,128,61.7365,100135
1000,6,1,1,128,68.8755,100135
1000,6,1,4,128,45.9659,100135
1000,6,1,8,128,44.919,100135
1000,8,1,1,128,69.0202,100135
1000,8,1,4,128,38.8902,100135
1000,8,1,8,128,37.0761,100135
1000,10,1,1,128,65.1961,100135
1000,10,1,4,128,36.6762,100135
1000,10,1,8,128,32.6231,100135
1000,12,1,1,128,68.9957,100135
1000,12,1,4,128,34.7238,100135
1000,12,1,8,128,29.0623,100135
1000,14,1,1,128,75.1599,100135
1000,14,1,4,128,32.3503,100135
1000,14,1,8,128,27.5362,100135
1000,16,1,1,128,85.4537,100135
1000,16,1,4,128,35.3167,100135
1000,16,1,8,128,27.5332,100135
1000,1,2,1,128,215.683,100135
1000,1,2,4,128,208.625,100135
1000,1,2,8,128,206.408,100135
1000,2,2,1,128,129.912,100135
1000,2,2,4,128,113.787,100135
1000,2,2,8,128,111.055,100135
1000,4,2,1,128,78.323,100135
1000,4,2,4,128,63.5467,100135
1000,4,2,8,128,60.0868,100135
1000,6,2,1,128,67.0852,100135
1000,6,2,4,128,46.0759,100135
1000,6,2,8,128,44.6714,100135
1000,8,2,1,128,63.8295,100135
1000,8,2,4,128,40.3308,100135
1000,8,2,8,128,36.153,100135
1000,10,2,1,128,69.2753,100135
1000,10,2,4,128,34.7541,100135
1000,10,2,8,128,32.9833,100135
1000,12,2,1,128,70.5542,100135
1000,12,2,4,128,34.3358,100135
1000,12,2,8,128,28.9669,100135
1000,14,2,1,128,75.9485,100135
1000,14,2,4,128,32.2572,100135
1000,14,2,8,128,28.0237,100135
1000,16,2,1,128,86.7168,100135
1000,16,2,4,128,33.7878,100135
1000,16,2,8,128,26.6082,100135
1000,1,3,1,128,215.99,100135
1000,1,3,4,128,207.925,100135
1000,1,3,8,128,208.138,100135
1000,2,3,1,128,130.84,100135
1000,2,3,4,128,111.672,100135
1000,2,3,8,128,109.86,100135
1000,4,3,1,128,78.9399,100135
1000,4,3,4,128,63.0031,100135
1000,4,3,8,128,60.0294,100135
1000,6,3,1,128,67.5716,100135
1000,6,3,4,128,47.0919,100135
1000,6,3,8,128,43.9277,100135
1000,8,3,1,128,68.0903,100135
1000,8,3,4,128,38.4777,100135
1000,8,3,8,128,36.9419,100135
1000,10,3,1,128,65.9024,100135
1000,10,3,4,128,36.0991,100135
1000,10,3,8,128,31.6497,100135
1000,12,3,1,128,69.3678,100135
1000,12,3,4,128,33.092,100135
1000,12,3,8,128,29.455,100135
1000,14,3,1,128,75.315,100135
1000,14,3,4,128,32.9351,100135
1000,14,3,8,128,28.1314,100135
1000,16,3,1,128,85.2677,100135
1000,16,3,4,128,35.2854,100135
1000,16,3,8,128,26.8163,100135
