N,nworkers,policy,tileSize,chunkSize,time,checksum
2000,1,0,1,128,2582.29,435143
2000,1,0,4,128,2404.84,435143
2000,1,0,8,128,2226.89,435143
2000,1,1,1,128,2610.22,435143
2000,1,1,4,128,2436.33,435143
2000,1,1,8,128,2221.72,435143
2000,2,1,1,128,1206.9,435143
2000,2,1,4,128,1166.92,435143
2000,2,1,8,128,1093.9,435143
2000,4,1,1,128,663.626,435143
2000,4,1,4,128,572.796,435143
2000,4,1,8,128,563.902,435143
2000,6,1,1,128,435.81,435143
2000,6,1,4,128,387.725,435143
2000,6,1,8,128,385.442,435143
2000,8,1,1,128,341.396,435143
2000,8,1,4,128,297.944,435143
2000,8,1,8,128,296.778,435143
2000,10,1,1,128,304.995,435143
2000,10,1,4,128,249.447,435143
2000,10,1,8,128,245.711,435143
2000,12,1,1,128,279.059,435143
2000,12,1,4,128,213.706,435143
2000,12,1,8,128,214.073,435143
2000,14,1,1,128,267.12,435143
2000,14,1,4,128,191.096,435143
2000,14,1,8,128,189.337,435143
2000,16,1,1,128,274.318,435143
2000,16,1,4,128,182.848,435143
2000,16,1,8,128,174.519,435143
2000,1,2,1,128,2973.62,435143
2000,1,2,4,128,2302.94,435143
2000,1,2,8,128,2261.75,435143
2000,2,2,1,128,1295.03,435143
2000,2,2,4,128,1115.54,435143
2000,2,2,8,128,1117.31,435143
2000,4,2,1,128,637.262,435143
2000,4,2,4,128,588.442,435143
2000,4,2,8,128,559.524,435143
2000,6,2,1,128,428.554,435143
2000,6,2,4,128,385.284,435143
2000,6,2,8,128,386.397,435143
2000,8,2,1,128,351.055,435143
2000,8,2,4,128,296.31,435143
2000,8,2,8,128,297.313,435143
2000,10,2,1,128,298.743,435143
2000,10,2,4,128,247.622,435143
2000,10,2,8,128,245.238,435143
2000,12,2,1,128,280.445,435143
2000,12,2,4,128,211.459,435143
2000,12,2,8,128,212.077,435143
2000,14,2,1,128,264.091,435143
2000,14,2,4,128,190.243,435143
2000,14,2,8,128,187.91,435143
2000,16,2,1,128,266.963,435143
2000,16,2,4,128,176.741,435143
2000,16,2,8,128,174.039,435143
2000,1,3,1,128,2975.28,435143
2000,1,3,4,128,2262.61,435143
2000,1,3,8,128,2403.31,435143
2000,2,3,1,128,1293.38,435143
2000,2,3,4,128,1119.49,435143
2000,2,3,8,128,1112.76,435143
2000,4,3,1,128,636.028,435143
2000,4,3,4,128,581.583,435143
2000,4,3,8,128,564.093,435143
2000,6,3,1,128,434.99,435143
2000,6,3,4,128,387.234,435143
2000,6,3,8,128,383.914,435143
2000,8,3,1,128,339.774,435143
2000,8,3,4,128,297.843,435143
2000,8,3,8,128,298.536,435143
2000,10,3,1,128,299.324,435143
2000,10,3,4,128,246.131,435143
2000,10,3,8,128,244.898,435143
2000,12,3,1,128,281.051,435143
2000,12,3,4,128,213.193,435143
2000,12,3,8,128,212.48,435143
2000,14,3,1,128,273.862,435143
2000,14,3,4,128,188.499,435143
2000,14,3,8,128,189.313,435143
2000,16,3,1,128,274.95,435143
2000,16,3,4,128,177.214,435143
2000,16,3,8,128,173.923,435143
