N,nworkers,policy,tileSize,chunkSize,time,checksum
8000,1,0,1,128,660348,6473351
8000,1,0,4,128,614452,6473351
8000,1,0,8,128,644902,6473351
8000,1,1,1,128,621897,6473351
8000,1,1,4,128,618026,6473351
8000,1,1,8,128,617568,6473351
8000,2,1,1,128,313104,6473351
8000,2,1,4,128,304163,6473351
8000,2,1,8,128,305253,6473351
8000,4,1,1,128,156984,6473351
8000,4,1,4,128,157347,6473351
8000,4,1,8,128,155011,6473351
8000,6,1,1,128,106380,6473351
8000,6,1,4,128,115685,6473351
8000,6,1,8,128,107503,6473351
8000,8,1,1,128,79822.4,6473351
8000,8,1,4,128,78809.9,6473351
8000,8,1,8,128,77926.3,6473351
8000,10,1,1,128,65490.7,6473351
8000,10,1,4,128,63681.6,6473351
8000,10,1,8,128,63113.5,6473351
8000,12,1,1,128,56158.4,6473351
8000,12,1,4,128,54088.8,6473351
8000,12,1,8,128,52700.1,6473351
8000,14,1,1,128,53715.6,6473351
8000,14,1,4,128,45799.6,6473351
8000,14,1,8,128,45865.9,6473351
8000,16,1,1,128,46108.1,6473351
8000,16,1,4,128,40825.7,6473351
8000,16,1,8,128,40512.2,6473351
8000,1,2,1,128,624336,6473351
8000,1,2,4,128,618137,6473351
8000,1,2,8,128,616263,6473351
8000,2,2,1,128,309227,6473351
8000,2,2,4,128,312903,6473351
8000,2,2,8,128,306052,6473351
8000,4,2,1,128,158551,6473351
8000,4,2,4,128,155547,6473351
8000,4,2,8,128,154695,6473351
8000,6,2,1,128,104113,6473351
8000,6,2,4,128,105145,6473351
8000,6,2,8,128,103924,6473351
8000,8,2,1,128,81444.8,6473351
8000,8,2,4,128,87025.5,6473351
8000,8,2,8,128,78488.6,6473351
8000,10,2,1,128,65303.4,6473351
8000,10,2,4,128,63549.1,6473351
8000,10,2,8,128,70811.1,6473351
8000,12,2,1,128,54890.3,6473351
8000,12,2,4,128,53203.1,6473351
8000,12,2,8,128,54732.1,6473351
8000,14,2,1,128,49151.7,6473351
8000,14,2,4,128,45985.6,6473351
8000,14,2,8,128,46464.2,6473351
8000,16,2,1,128,46619.6,6473351
8000,16,2,4,128,41117.5,6473351
8000,16,2,8,128,40773.5,6473351
8000,1,3,1,128,650871,6473351
8000,1,3,4,128,622214,6473351
8000,1,3,8,128,616383,6473351
8000,2,3,1,128,313160,6473351
8000,2,3,4,128,316044,6473351
8000,2,3,8,128,314344,6473351
8000,4,3,1,128,157407,6473351
8000,4,3,4,128,158112,6473351
8000,4,3,8,128,158253,6473351
8000,6,3,1,128,106433,6473351
8000,6,3,4,128,104750,6473351
8000,6,3,8,128,104983,6473351
8000,8,3,1,128,80519.4,6473351
8000,8,3,4,128,78835.3,6473351
8000,8,3,8,128,79371,6473351
8000,10,3,1,128,65845.5,6473351
8000,10,3,4,128,62725.9,6473351
8000,10,3,8,128,63647.5,6473351
8000,12,3,1,128,55473.5,6473351
8000,12,3,4,128,53351.3,6473351
8000,12,3,8,128,53028.9,6473351
8000,14,3,1,128,48163.2,6473351
8000,14,3,4,128,51752.1,6473351
8000,14,3,8,128,45857.6,6473351
8000,16,3,1,128,46260.5,6473351
8000,16,3,4,128,40970.7,6473351
8000,16,3,8,128,40348.1,6473351
