nworkers,time,speedup,efficiency
1,15690.0,1.0,100.0
2,7572.0,2.073,103.6
4,3762.0,4.172,104.3
6,2540.0,6.179,103.0
8,1958.0,8.015,100.2
10,1580.0,9.931,99.31
12,1311.0,11.97,99.75
14,1105.0,14.2,101.4
16,981.1,15.99,99.97
24,701.1,22.38,93.27
32,571.4,27.47,85.83
